variableName;variableDescription
"s_24_2";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Danceability (how suitable the music is for dancing)"
"s_24_3";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Energy (how energetic / fast / loud  a song is)"
"s_24_4";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Emoji / Emoticons (describes music based on emotional icons)"
"s_24_5";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Genre information (rock, pop, blues...)"
"s_24_6";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Loudness (musical dynamic, the overall loudness of music in decibels (dB))"
"s_24_7";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Moods (what state of mind the music will put you in, how it makes you feel)"
"s_24_8";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Popularity Score (how popular the music is)"
"s_24_9";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Rhythm (musical feel)"
"s_24_10";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Similarity Score (percentage of how alike different music is to each other)"
"s_24_11";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Tags (musical keywords, terms, or annotations)"
"s_24_12";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Tempo (beats per minute, if the music is fast or slow)"
"s_24_13";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Timbre (tone color or tone quality)"
"s_24_14";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Valence / Arousal (how positive or negative the music is)"
"s_24_15";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - I don't need any more explanations"
"s_24_16";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - I don't know"
"s_24_17";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Other"
"s_159";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with these artists / songs"
"s_160";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The design layout of the explanation is clear and easy to understand"
"s_161";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is unnecessarily complex"
"s_164";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation contains the right amount of information"
"s_165";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is too detailed"
"s_166";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand why 'And So It Goes' by 'Sara Gazarek' is recommended"
"s_167";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation does not provide useful information"
"s_163";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation increased my trust in the system"
"s_179";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - It took me a long time to understand the explanation"
"s_170";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is attractive and pleasing to look at"
"s_171";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I do not like the design of the explanation"
"s_172";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like to use a system which uses this type of explanation"
"s_173";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I am satisfied with the recommendation explanation"
"s_180";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with these artists / songs"
"s_181";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The design layout of the explanation is clear and easy to understand"
"s_182";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is unnecessarily complex"
"s_183";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation contains the right amount of information"
"s_184";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is too detailed"
"s_185";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand why 'And So It Goes' by 'Sara Gazarek' is recommended"
"s_186";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation does not provide useful information"
"s_187";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation increased my trust in the system"
"s_188";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - It took me a long time to understand the explanation"
"s_189";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is attractive and pleasing to look at"
"s_190";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I do not like the design of the explanation"
"s_191";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like to use a system which uses this type of explanation"
"s_192";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I will choose the neutral answer number three for this question"
"s_193";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I am satisfied with the recommendation explanation"
"s_194";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with these artists / songs"
"s_195";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The design layout of the explanation is clear and easy to understand"
"s_196";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is unnecessarily complex"
"s_197";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation contains the right amount of information"
"s_198";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is too detailed"
"s_199";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand why 'And So It Goes' by 'Sara Gazarek' is recommended"
"s_200";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation does not provide useful information"
"s_201";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation increased my trust in the system"
"s_202";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - It took me a long time to understand the explanation"
"s_203";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The explanation is attractive and pleasing to look at"
"s_204";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I do not like the design of the explanation"
"s_205";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like to use a system which uses this type of explanation"
"s_206";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The answer to this question is disagree which is number two"
"s_207";" Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I am satisfied with the recommendation explanation"
"s_175";"1. Which recommendation explanation design do you like the most?"
"s_135";"2. Why do you like this recommendation explanation design the most?"
"s_178";"3. Which recommendation explanation design do you dislike the most?"
"s_136";"4. Why do you dislike this recommendation explanation design the most?"
"s_71";"5. In general, what do you like most about the recommendation explanations shown above and what do you like the least?"
"s_137";"6. Are there any design changes you would make to any of the interfaces shown above? (optional)"
"s_177";"7. Were the mood-based recommendation explanations helpful?"
"s_240";"8. In general, now that you have seen this survey, what do you think about using moods for recommendation explanations?"
"s_85";"1. Please state whether you agree or disagree with the following statements on a scale of 1-5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I understood how to answer the questions in this survey."
"s_86";"1. Please state whether you agree or disagree with the following statements on a scale of 1-5, where 1 means strongly disagree and 5 means strongly agree. - Overall, I enjoyed taking this survey."
"s_97";"1. Please state whether you agree or disagree with the following statements on a scale of 1-5, where 1 means strongly disagree and 5 means strongly agree. - I would switch to or begin using a music streaming service on my phone if it had great recommendation explanations."
"s_70";"2. You were asked in the pre-survey whether or not music recommendation explanations are important to you. Has your opinion changed after participating in this study?"
"s_72";"3. Do you have any other suggestions on how to improve recommendation explanations for music applications on mobile phones? (optional)"
"s_73";"4. Please feel free to add any addition comments here. (optional)"
"stato_1";"Overall Status - New"
"stato_2";"Overall Status - Distributed"
"stato_3";"Overall Status - Partially Complete"
"stato_4";"Overall Status - Complete"
"stato_5";"Overall Status - Rejected"
